id,item_group_id,title,description,link,image_link,price,availability,condition
110,10,Undated 90 Day Planner | Queen Mother of Ambition,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/copy-of-the-goal-getter,"https://static.wixstatic.com/media/70f0a4_7fbabf53972a4b5e88b55327eb887a8f~mv2.png/v1/fill/w_600,h_485,al_c,lg_1,q_90/70f0a4_7fbabf53972a4b5e88b55327eb887a8f~mv2.webp",48.99,in stock,new
111,11,Undated 90 Day Planner | The Field of Dreams,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/field-of-dreams-1,"https://static.wixstatic.com/media/70f0a4_bf98bd118fea4dd697005fa19ba0749e~mv2.png/v1/fill/w_600,h_485,al_c,lg_1,q_90/70f0a4_bf98bd118fea4dd697005fa19ba0749e~mv2.webp",48.99,in stock,new
112,12,Undated 90 Day Planner |The Goal Getter,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/goal-d-getter,"https://static.wixstatic.com/media/70f0a4_07022b72d86f4288b823c243d75b3916~mv2.png/v1/fill/w_600,h_485,al_c,lg_1,q_90/70f0a4_07022b72d86f4288b823c243d75b3916~mv2.webp",48.99,in stock,new
113,13,Undated Digital Annual Planner | Queen Mother of Ambition,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/queen-mother-annual-digital-planner-pink-mode,"https://static.wixstatic.com/media/2ae67b_42ce60b085204210b4bc8c96861b944c~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_42ce60b085204210b4bc8c96861b944c~mv2.webp",17.99,in stock,new
114,14,Undated Digital Annual Planner | Stroke of Genius,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/stroke-of-genius-annual-digital-planner-pink-mode,"https://static.wixstatic.com/media/2ae67b_fe87f3f343414019bb2d54a2ae182583~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_fe87f3f343414019bb2d54a2ae182583~mv2.webp",17.99,in stock,new
115,15,Undated Digital Annual Planner | Intentionality,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/intentionality,"https://static.wixstatic.com/media/2ae67b_94e2db9f0bb248b887827c5316915439~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_94e2db9f0bb248b887827c5316915439~mv2.webp",17.99,in stock,new
116,16,Undated Digital Annual Planner | Fire Starter,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/firestarter-annual-digital-planner-pink-mode,"https://static.wixstatic.com/media/2ae67b_9c5af49f4c564ce7a476f736d0e3369b~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_9c5af49f4c564ce7a476f736d0e3369b~mv2.webp",17.99,in stock,new
117,17,Daily Devotional for Women | 90 Day Devotional | Ambitious Faith,"Ambitious Faith is a 90-Day Devotional that brings to life the stories of ambitious women in the Bible who created or changed history. In partnership with The Ambition Planner®, this 90-day devotional has been mindfully curated to help ambitious women start each day spiritually focused. The founder of The Ambition Planner® and the author of the Foreword, S. Deon Stokes, measures her daily success with how spiritually centered she is in her mission, vision, and purpose (MVP).",https://www.theambitionplanner.com/product-page/ambitious-faith-90-day-devotional,"https://static.wixstatic.com/media/70f0a4_0637a85a736f4213b9dfc8f3402d267b~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_0637a85a736f4213b9dfc8f3402d267b~mv2.webp",12.99,in stock,new
118,18,Digital Gratitude Journal | Guided Gratitude Journal,"The way you start each day dictates the day. Start and end each day with gratitude. The Ambition Planner presents our guided gratitude journal. An undated gratitude journal that is more than your average gratitude journal. ||FEATURES
• Size: 300+ hyperlinked pages
• Design: Portrait daily journal
• Dividers: Award-winning artist designed pages
• Instant download: receive the link to the PDF immediately after payment
• Trendy /Minimal/ chic/ modern design
||FILES
• 1 PDF Daily Gratitude Journal
• How to use guidelines
• Bonus stickers in a .goodnotes file
• Bonus stickers as individual PNG files",https://www.theambitionplanner.com/product-page/2021-gratitude-journal,"https://static.wixstatic.com/media/70f0a4_99dd55e2525f4d5eb4123e83880cc4fe~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_99dd55e2525f4d5eb4123e83880cc4fe~mv2.webp",15.59,in stock,new
119,19,Annual Supply of 90 Day Planners | Planner Bundle,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/annual-supply-bundle-four-hardcover-b5-planners,"https://static.wixstatic.com/media/2ae67b_812163f4ba7143e387f87635ef14ff2d~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_812163f4ba7143e387f87635ef14ff2d~mv2.webp",144,in stock,new
